phi,mean,maxi,const
1.80,-0.416048,0.592773,0.60
1.60,-0.150245,0.217760,0.60
2.00,-0.532530,0.215922,0.60
1.70,-0.292481,0.509086,0.60
2.50,-0.259398,0.457754,0.60
2.60,-0.222283,0.526260,0.60
2.80,-0.135796,0.103744,0.60
3.00,-0.051208,0.393186,0.60
3.10,-0.014448,0.142145,0.60
1.90,-0.476913,0.120405,0.60
3.60,0.180195,0.961810,0.60
3.70,0.232059,0.944665,0.60
3.80,0.294386,0.907573,0.60
3.30,0.065463,0.316017,0.60
3.20,0.025380,0.203983,0.60
4.20,0.459652,0.850757,0.60
3.90,0.288099,0.874322,0.60
4.00,0.326025,0.989868,0.60
4.10,0.336194,0.939094,0.60
2.90,-0.104585,0.055321,0.60
3.50,0.128520,0.824896,0.60
3.40,0.104696,0.505921,0.60
4.50,0.398636,0.928607,0.60
4.30,0.474251,0.975291,0.60
4.40,0.442777,0.958172,0.60
4.60,0.211995,0.797198,0.60
4.70,0.111650,0.765067,0.60
4.90,-0.301639,0.680524,0.60
4.80,-0.059190,0.800819,0.60
2.70,-0.165439,0.818223,0.60
0.00,0.000000,-0.000000,0.70
0.20,0.039721,0.230536,0.70
0.10,0.018970,0.125565,0.70
5.10,-0.482262,0.437988,0.60
5.20,-0.422886,0.424600,0.60
5.00,-0.396290,0.564023,0.60
0.30,0.074686,0.301087,0.70
0.40,0.104471,0.713176,0.70
5.50,-0.265895,0.442883,0.60
5.40,-0.278441,0.862959,0.60
5.30,-0.325915,0.574010,0.60
0.50,0.126360,0.613808,0.70
1.10,0.503042,0.926931,0.70
1.20,0.474495,0.931674,0.70
0.70,0.270356,0.943564,0.70
0.60,0.219855,0.791971,0.70
1.00,0.437076,0.820743,0.70
0.90,0.310552,0.856083,0.70
5.70,-0.167417,0.448230,0.60
5.60,-0.228296,0.419585,0.60
5.80,-0.161173,0.332539,0.60
6.00,-0.058582,0.408103,0.60
0.80,0.320065,0.887061,0.70
6.10,-0.041044,0.234845,0.60
2.10,-0.484093,0.055329,0.70
2.20,-0.403483,0.384611,0.70
2.30,-0.349607,0.266699,0.70
2.50,-0.323057,0.324643,0.70
2.60,-0.284510,0.042575,0.70
2.40,-0.342197,0.429040,0.70
2.70,-0.218616,0.077411,0.70
5.90,-0.102603,0.469471,0.60
6.20,-0.019741,0.128231,0.60
1.30,0.430284,0.858531,0.70
1.60,-0.126988,0.202248,0.70
1.50,0.071301,0.357844,0.70
1.40,0.275078,0.675361,0.70
2.80,-0.167518,0.057624,0.70
1.90,-0.511631,0.087357,0.70
1.70,-0.304752,0.082052,0.70
3.60,0.202220,0.748396,0.70
1.80,-0.432487,0.168412,0.70
2.90,-0.095966,0.508000,0.70
3.00,-0.068404,0.075714,0.70
3.20,0.024819,0.092349,0.70
3.40,0.096663,0.383632,0.70
3.50,0.147392,0.600418,0.70
4.10,0.461531,0.951103,0.70
4.30,0.496509,0.907035,0.70
4.40,0.505621,0.973376,0.70
4.20,0.520701,0.931061,0.70
2.00,-0.524955,0.268566,0.70
3.90,0.317440,0.814485,0.70
3.30,0.065225,0.263954,0.70
3.10,-0.017933,0.043317,0.70
4.60,0.267177,0.966975,0.70
4.50,0.414947,0.878603,0.70
4.70,0.110371,0.777468,0.70
4.90,-0.294264,0.714973,0.70
4.80,-0.069120,0.645956,0.70
5.00,-0.424405,0.398057,0.70
5.10,-0.489579,0.550321,0.70
3.80,0.319320,0.910647,0.70
3.70,0.248454,0.891262,0.70
0.00,0.000000,-0.000000,0.80
0.20,0.057016,0.232642,0.80
0.10,0.028738,0.146404,0.80
0.40,0.121065,0.470703,0.80
0.30,0.094234,0.479432,0.80
5.30,-0.426211,-0.020015,0.70
5.20,-0.477906,0.292373,0.70
5.40,-0.333505,0.360269,0.70
4.00,0.338027,0.892751,0.70
0.50,0.177861,0.676508,0.80
5.50,-0.272527,0.461961,0.70
5.70,-0.220626,0.191672,0.70
5.60,-0.236263,0.515499,0.70
1.10,0.523643,0.979557,0.80
1.20,0.465454,0.935460,0.80
6.10,-0.046454,0.126117,0.70
0.60,0.222496,0.668534,0.80
0.70,0.285827,0.829383,0.80
5.80,-0.169693,0.336740,0.70
5.90,-0.106354,0.324278,0.70
6.00,-0.076026,0.265263,0.70
0.90,0.428628,0.879775,0.80
0.80,0.343116,0.835086,0.80
1.00,0.448783,0.878680,0.80
6.20,-0.023741,0.146981,0.70
2.00,-0.555200,-0.071553,0.80
2.10,-0.558125,0.078218,0.80
2.20,-0.476134,0.784032,0.80
2.50,-0.332745,0.380938,0.80
2.60,-0.271414,-0.085980,0.80
2.40,-0.331328,0.061609,0.80
2.30,-0.425946,0.128807,0.80
1.30,0.384373,0.953957,0.80
2.80,-0.163729,0.392739,0.80
1.60,-0.135452,0.165392,0.80
1.50,0.059824,0.532309,0.80
1.40,0.257990,0.686373,0.80
2.70,-0.210305,0.054960,0.80
1.90,-0.542018,0.244046,0.80
1.70,-0.288629,0.241781,0.80
1.80,-0.427978,0.078182,0.80
3.10,-0.023613,0.040024,0.80
2.90,-0.116949,0.294025,0.80
3.20,0.033770,0.144428,0.80
3.50,0.179717,0.588277,0.80
4.30,0.541867,0.974976,0.80
4.40,0.530142,0.947256,0.80
4.50,0.403951,0.843079,0.80
4.60,0.257442,0.802030,0.80
4.20,0.564576,0.948685,0.80
4.70,0.084230,0.529873,0.80
4.80,-0.065068,0.850649,0.80
4.90,-0.325313,0.391517,0.80
5.00,-0.437319,0.454982,0.80
3.40,0.131606,0.432412,0.80
3.30,0.085065,0.345492,0.80
3.90,0.361669,0.866361,0.80
4.10,0.520387,0.941545,0.80
3.80,0.334906,0.829547,0.80
3.70,0.272229,0.666637,0.80
3.00,-0.078966,0.095056,0.80
5.20,-0.490488,0.595558,0.80
5.10,-0.486106,0.532851,0.80
5.30,-0.479419,0.244178,0.80
5.40,-0.429088,0.120964,0.80
5.50,-0.337253,0.486009,0.80
5.70,-0.190897,0.246088,0.80
5.60,-0.277533,0.222325,0.80
3.60,0.218745,0.582548,0.80
0.10,0.039623,0.081969,0.90
5.80,-0.165553,0.150254,0.80
5.90,-0.109739,0.157772,0.80
6.00,-0.087669,0.076270,0.80
1.10,0.508802,0.906444,0.90
1.20,0.466711,0.935372,0.90
1.30,0.414009,0.851421,0.90
0.40,0.143309,0.333533,0.90
0.30,0.118954,0.291344,0.90
0.20,0.076508,0.184352,0.90
6.20,-0.023526,0.035008,0.80
0.00,0.000000,-0.000000,0.90
6.10,-0.053694,0.175137,0.80
1.50,0.076909,0.595670,0.90
1.40,0.280138,0.824726,0.90
4.00,0.423324,0.882182,0.80
0.80,0.394774,0.850798,0.90
0.90,0.457580,0.904596,0.90
0.50,0.199641,0.461929,0.90
0.60,0.270139,0.693797,0.90
0.70,0.312152,0.674854,0.90
1.00,0.530009,0.953736,0.90
2.30,-0.477077,-0.008234,0.90
2.60,-0.275593,0.185222,0.90
2.40,-0.397293,0.046078,0.90
2.50,-0.322476,-0.007335,0.90
2.90,-0.139253,0.277520,0.90
2.80,-0.191135,0.038467,0.90
3.00,-0.078236,0.114552,0.90
2.70,-0.245143,-0.074003,0.90
1.90,-0.542255,-0.048272,0.90
1.60,-0.107992,0.187036,0.90
2.00,-0.578777,0.424105,0.90
2.10,-0.571265,0.386653,0.90
2.20,-0.543882,-0.006950,0.90
1.80,-0.414360,0.026739,0.90
1.70,-0.277213,0.144444,0.90
3.10,-0.022300,0.020653,0.90
3.20,0.033520,0.113454,0.90
3.30,0.091175,0.369897,0.90
3.40,0.141288,0.447737,0.90
3.50,0.189290,0.429212,0.90
3.60,0.219267,0.481499,0.90
3.70,0.288983,0.599292,0.90
3.80,0.319988,0.739763,0.90
3.90,0.410299,0.920505,0.90
4.00,0.501481,0.968332,0.90
4.10,0.538948,0.977829,0.90
4.20,0.594156,0.950455,0.90
4.90,-0.275587,0.572747,0.90
5.10,-0.493671,0.494567,0.90
5.20,-0.527680,0.216464,0.90
5.00,-0.420457,0.693329,0.90
6.10,-0.084102,0.006984,0.90
6.00,-0.107507,0.246126,0.90
6.20,-0.033707,-0.002575,0.90
4.70,0.071719,0.587671,0.90
4.80,-0.127072,0.620271,0.90
4.60,0.224341,0.749728,0.90
4.30,0.596829,0.981264,0.90
4.50,0.395983,0.813348,0.90
4.40,0.539156,0.926213,0.90
0.10,0.046464,0.116638,1.00
0.00,0.000000,-0.000000,1.00
5.40,-0.451991,0.019691,0.90
5.30,-0.526102,0.172585,0.90
5.50,-0.384370,0.184589,0.90
5.70,-0.251721,0.497848,0.90
5.60,-0.309583,0.531860,0.90
0.60,0.289206,0.748339,1.00
5.90,-0.134118,0.311134,0.90
5.80,-0.190145,0.095441,0.90
0.80,0.407632,0.750213,1.00
0.90,0.473773,0.819092,1.00
0.70,0.345313,0.861314,1.00
1.00,0.521295,0.921526,1.00
1.20,0.500071,0.941203,1.00
1.30,0.405074,0.930557,1.00
1.10,0.538445,0.969742,1.00
0.30,0.135051,0.259832,1.00
0.20,0.095213,0.208502,1.00
0.50,0.231491,0.572438,1.00
0.40,0.170774,0.304570,1.00
1.70,-0.273666,0.278565,1.00
1.80,-0.412059,0.072358,1.00
1.90,-0.531602,0.008380,1.00
2.00,-0.589783,0.576911,1.00
2.10,-0.602379,-0.030348,1.00
1.50,0.084889,0.540085,1.00
1.60,-0.085324,0.342196,1.00
1.40,0.256381,0.883730,1.00
3.70,0.311954,0.809312,1.00
2.80,-0.179074,0.288937,1.00
2.20,-0.550607,-0.041284,1.00
2.30,-0.497993,-0.021752,1.00
2.40,-0.408439,0.216365,1.00
4.50,0.373982,0.855227,1.00
3.10,-0.023246,0.044448,1.00
3.00,-0.081039,0.035660,1.00
2.90,-0.132610,0.121020,1.00
4.60,0.220440,0.708954,1.00
2.60,-0.298455,0.099175,1.00
2.70,-0.224064,0.484332,1.00
2.50,-0.360911,0.415006,1.00
4.80,-0.117957,0.667214,1.00
4.70,0.071288,0.599635,1.00
3.20,0.033295,0.093275,1.00
3.30,0.094003,0.492029,1.00
3.40,0.146407,0.339202,1.00
3.50,0.185773,0.433077,1.00
3.60,0.231565,0.449572,1.00
5.40,-0.478128,-0.119144,1.00
3.80,0.368572,0.694256,1.00
3.90,0.423589,0.964862,1.00
4.20,0.610198,0.997899,1.00
4.10,0.575252,0.967119,1.00
4.30,0.585002,0.979560,1.00
4.40,0.486569,0.915829,1.00
4.00,0.491783,0.966398,1.00
5.60,-0.308248,0.690151,1.00
5.80,-0.223971,0.047099,1.00
5.50,-0.380288,0.746505,1.00
5.70,-0.270623,0.138986,1.00
5.90,-0.167842,-0.052385,1.00
6.00,-0.127960,0.013763,1.00
6.10,-0.082076,0.208328,1.00
4.90,-0.281673,0.352897,1.00
5.20,-0.544988,0.461320,1.00
5.00,-0.436524,0.055848,1.00
5.30,-0.504649,0.238749,1.00
0.30,0.145536,0.362725,1.10
0.50,0.259804,0.860545,1.10
0.40,0.192946,0.632730,1.10
0.60,0.300661,0.701319,1.10
0.70,0.359834,0.790574,1.10
5.10,-0.513440,0.671738,1.00
0.10,0.048245,0.137330,1.10
0.20,0.097288,0.212205,1.10
0.00,0.000000,-0.000000,1.10
6.20,-0.039606,0.015517,1.00
2.00,-0.585362,0.153650,1.10
1.90,-0.519867,0.001478,1.10
2.10,-0.588875,0.807971,1.10
1.40,0.264597,0.848739,1.10
1.00,0.539133,0.927719,1.10
0.90,0.464356,0.795442,1.10
0.80,0.419282,0.887572,1.10
2.30,-0.511377,0.296982,1.10
1.20,0.512503,0.911905,1.10
1.30,0.393157,0.800247,1.10
1.10,0.552273,0.982833,1.10
2.20,-0.569634,0.582484,1.10
1.70,-0.261022,0.282768,1.10
1.60,-0.101762,0.209716,1.10
1.50,0.079605,0.610422,1.10
1.80,-0.396192,0.014800,1.10
2.90,-0.147669,0.209318,1.10
3.00,-0.086672,0.095011,1.10
2.80,-0.189022,0.763314,1.10
2.50,-0.378619,0.050103,1.10
2.60,-0.320483,0.338101,1.10
2.40,-0.420936,0.626721,1.10
2.70,-0.244436,0.620907,1.10
3.50,0.203227,0.653941,1.10
3.10,-0.026265,0.035642,1.10
3.30,0.078477,0.217295,1.10
3.40,0.153364,0.428094,1.10
3.20,0.037689,0.172227,1.10
3.60,0.260590,0.471475,1.10
3.70,0.316229,0.635975,1.10
4.50,0.377277,0.866507,1.10
4.40,0.491588,0.854919,1.10
4.30,0.581073,0.927004,1.10
4.00,0.511259,0.919704,1.10
4.10,0.590330,0.929715,1.10
5.60,-0.350670,-0.090344,1.10
5.40,-0.476839,0.156869,1.10
5.50,-0.402416,0.220467,1.10
5.70,-0.288077,0.008227,1.10
5.80,-0.232243,0.007031,1.10
4.20,0.608671,0.940720,1.10
3.80,0.378608,0.714837,1.10
4.90,-0.291656,0.391618,1.10
4.70,0.067980,0.600448,1.10
4.80,-0.107433,0.640553,1.10
4.60,0.229481,0.793661,1.10
5.10,-0.497871,0.763232,1.10
5.00,-0.423135,0.681379,1.10
5.30,-0.546723,0.104553,1.10
5.20,-0.539858,0.794922,1.10
0.00,0.000000,-0.000000,1.20
0.10,0.053111,0.184300,1.20
5.90,-0.185279,0.181208,1.10
6.00,-0.140913,0.124648,1.10
6.10,-0.097163,-0.032665,1.10
3.90,0.433581,0.954700,1.10
6.20,-0.042894,0.015417,1.10
0.60,0.316713,0.658524,1.20
0.40,0.204163,0.531487,1.20
0.50,0.260298,0.445326,1.20
